unit,icha11_hf,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
EUR_HAB,HF1,LI	5236.49 	5419.42 	5679.77 	5692.50 	4987.30 	4984.81 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,LT	711.48 	639.02 	599.35 	560.22 	521.98 	480.80 	472.48 	476.35 	442.32 	453.89 	457.90 	367.96 	290.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,LU	4389.93 	4205.35 	4094.57 	4040.52 	4064.74 	3930.66 	3843.47 b	4232.46 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,LV	560.60 	475.15 	443.64 	411.93 	386.32 	367.58 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,MT	1453.51 	1400.64 	1308.19 	1210.52 	1121.90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,NL	3676.73 	3539.20 	3460.36 	3422.24 	3411.66 	3375.42 	3372.50 	3295.74 	3257.21 	3141.90 	3018.24 	2876.76 	2719.58 	2100.99 	2031.66 	2008.37 	1878.28 	1685.30 	1510.17 	1423.00 	1345.41 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,NO	5938.51 	5879.24 	5760.82 	5804.73 	5832.66 	5880.00 	5878.21 	5367.89 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,PL	593.08 	559.48 	510.60 	502.62 	477.38 	467.45 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,PT	1155.23 	1084.57 	1045.97 b	1030.50 	992.13 	990.45 	981.67 	1076.61 	1165.87 	1146.73 	1083.53 	1036.75 	997.92 	1015.53 	959.48 	883.27 	850.36 	780.04 	736.79 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,RO	465.59 	388.37 	338.29 	311.96 	300.29 	296.45 	240.91 	231.55 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,SE	4289.75 	4363.22 	4300.05 	4219.74 	4163.52 	4216.89 	4084.16 	3844.80 	2741.94 	2448.74 	2606.64 	2588.88 	2463.46 	2345.71 	2318.54 	2286.94 	2154.38 	1973.70 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,SI	1333.33 	1229.98 	1207.57 	1151.53 	1103.50 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,SK	881.47 	840.82 	838.48 	796.34 	778.24 b	765.35 	740.71 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF1,UK	2835.65 	2765.86 	2916.92 	3193.60 	2829.27 	2587.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,AT	1360.99 	1297.10 	1267.60 	1239.47 	1220.78 	1196.25 	1200.26 	1144.12 	1122.00 	1083.24 	1031.88 	948.44 	904.95 	852.86 	812.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,BA	10.93 	10.14 	9.07 	8.06 	7.59 	7.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,BE	845.98 	839.80 	782.93 	688.77 	354.52 	397.83 	393.02 	367.31 	359.62 	352.95 	327.67 	315.93 	321.01 	301.19 	285.70 	265.68 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,BG	61.02 	55.03 	52.27 	47.97 	44.71 	42.67 b	47.92 	62.13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,CH	1838.40 	1908.12 	1866.79 	1910.24 	1649.88 	1621.79 	1659.29 	1495.26 	1278.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,CY	703.29 	645.44 	617.44 	601.24 	602.93 	658.81 	673.15 	707.25 	693.28 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,CZ	198.38 	171.08 	147.06 	139.02 	133.21 	150.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,DE	298.60 	292.06 	297.49 	281.89 	271.21 	260.39 	250.78 	244.52 	235.96 	229.46 	222.35 	217.10 	212.99 	212.90 	215.13 	215.61 	207.53 	202.91 	194.38 	191.08 	188.73 	190.23 	238.41 	265.39 	257.09 	242.71 	214.53 
EUR_HAB,HF11,DK	4408.56 	4313.83 	4217.90 	4135.77 	4032.72 	3948.70 	3915.79 	3777.54 	3799.10 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,EA18	880.57 	855.92 	841.36 	824.07 	793.18 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,EA19	874.08 	849.54 	834.99 	817.72 	786.98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,EE	119.39 b	136.53 	114.33 	108.25 	95.89 	94.32 	85.59 	80.43 	76.42 	73.84 	77.45 	66.07 	53.65 	42.12 	35.31 b	30.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,EL	364.86 	370.53 	419.36 	377.75 	386.55 	423.03 	460.13 	378.41 	582.25 	550.59 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,ES	1529.82 	1483.86 	1442.59 	1419.32 	1329.76 	1322.10 	1369.97 	1447.21 	1476.14 	1490.55 	1394.17 	1275.87 	1191.43 	1095.61 	1019.74 	953.30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,EU27_2007	1109.28 	1080.46 	1083.21 	1101.57 	1028.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,EU27_2020	842.46 	821.21 	802.96 	784.68 	756.15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,EU28	1100.72 	1072.17 	1074.51 	1092.64 	1019.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR_HAB,HF11,FI	2411.35 	2349.56 	2305.14 	2324.53 	2364.71 	2352.15 	2261.74 	2127.64 	1988.41 	1932.45 	1877.74 	1761.48 	1676.33 	1577.14 	1476.29 	1387.14 	1304.49 	1203.47 	1108.18 	: 	: 	: 	: 	: 	: 	: 	: 
